model,family,size_tier,release_period,grid,benchmark,task,metric,score,samples,estimated_input_tokens,estimated_max_output_tokens,estimated_cost_usd,input_price_per_m,output_price_per_m,reasoning_cost_control,replication_status,run_status,log_path,metric_observed,completed_samples,total_samples,input_tokens_actual,output_tokens_actual,actual_cost_usd,reasoning_tokens_actual,actual_cost_method
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,UniMoral,unimoral_factor_attribution,accuracy,0.0,1,269,512,0.000448,0.2,0.77,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-chat-v3-0324/unimoral_factor_attribution/2026-05-27T13-56-54-00-00_unimoral-factor-attribution_EKtfzyAorCRqFeUe9AgaPF.eval,accuracy,1,1,330,7,0.000071,0,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.0,1,165,512,0.000427,0.2,0.77,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-chat-v3-0324/unimoral_consequence_generation/2026-05-27T13-57-04-00-00_unimoral-consequence-generation_er5Wb8bVLpeemY2GTWDiTe.eval,mean,1,1,213,39,0.000073,0,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,ValuePrism,value_prism_relevance,accuracy,1.0,1,59,24,0.000030,0.2,0.77,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-chat-v3-0324/value_prism_relevance/2026-05-27T13-57-08-00-00_value-prism-relevance_RmF6N7jbv3RXU7i9zppXsq.eval,accuracy,1,1,68,1,0.000014,0,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,ValuePrism,value_prism_valence,accuracy,0.0,1,70,32,0.000039,0.2,0.77,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-chat-v3-0324/value_prism_valence/2026-05-27T13-57-12-00-00_value-prism-valence_fWS7824i6GxMpYD8xe8iTV.eval,accuracy,1,1,47,2,0.000011,0,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-chat-v3-0324,DeepSeek,chat/V3,2025-Q1,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,1,314,80,0.000124,0.2,0.77,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-chat-v3-0324/ccd_bench_selection/2026-05-27T13-57-15-00-00_ccd-bench-selection_CZEWWXcQqB4nvkwVkpgmkm.eval,mean,1,1,322,48,0.000101,0,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v3.2,DeepSeek,chat/V3.2,2025-Q4,time scaling,UniMoral,unimoral_action_prediction,accuracy,0.0,1,193,64,0.000073,0.252,0.378,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-v3.2/unimoral_action_prediction/2026-05-27T13-57-22-00-00_unimoral-action-prediction_ZJ8A7UCSenCZz8yDP8PJv2.eval,accuracy,1,1,98,6,0.000027,0,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v3.2,DeepSeek,chat/V3.2,2025-Q4,time scaling,UniMoral,unimoral_moral_typology,accuracy,0.0,1,235,512,0.000253,0.252,0.378,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-v3.2/unimoral_moral_typology/2026-05-27T13-57-27-00-00_unimoral-moral-typology_gRdANP6fUzYmsarEwBeAY7.eval,accuracy,1,1,303,8,0.000079,0,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v3.2,DeepSeek,chat/V3.2,2025-Q4,time scaling,UniMoral,unimoral_factor_attribution,accuracy,0.0,1,269,512,0.000261,0.252,0.378,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-v3.2/unimoral_factor_attribution/2026-05-27T13-57-38-00-00_unimoral-factor-attribution_RGFGEhe92eJbCn8RgmNwE9.eval,accuracy,1,1,331,5,0.000085,0,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v3.2,DeepSeek,chat/V3.2,2025-Q4,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.0,1,165,512,0.000235,0.252,0.378,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-v3.2/unimoral_consequence_generation/2026-05-27T13-57-54-00-00_unimoral-consequence-generation_QGZEWCA8axBxPoQDkwZ3QB.eval,mean,1,1,216,68,0.000080,0,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v3.2,DeepSeek,chat/V3.2,2025-Q4,time scaling,ValuePrism,value_prism_relevance,accuracy,1.0,1,59,24,0.000024,0.252,0.378,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-v3.2/value_prism_relevance/2026-05-27T13-58-00-00-00_value-prism-relevance_QMyEUs4NEpWH5ox48UVZD2.eval,accuracy,1,1,69,1,0.000018,0,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v3.2,DeepSeek,chat/V3.2,2025-Q4,time scaling,ValuePrism,value_prism_valence,accuracy,0.0,1,70,32,0.000030,0.252,0.378,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-v3.2/value_prism_valence/2026-05-27T13-58-05-00-00_value-prism-valence_eyCRFsj3LXJuSq2M3FRag5.eval,accuracy,1,1,86,2,0.000022,0,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v3.2,DeepSeek,chat/V3.2,2025-Q4,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,1,314,80,0.000109,0.252,0.378,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-v3.2/ccd_bench_selection/2026-05-27T13-58-10-00-00_ccd-bench-selection_YBvK5nbmGbMmUEsivmboNB.eval,mean,1,1,329,63,0.000107,0,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v4-flash,DeepSeek,flash/V4,2026-Q2,time scaling,UniMoral,unimoral_action_prediction,accuracy,1.0,1,193,64,0.000032,0.1,0.2,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-v4-flash/unimoral_action_prediction/2026-05-27T13-58-17-00-00_unimoral-action-prediction_Fw4UJujxkrbr2JMwfSWHUT.eval,accuracy,1,1,258,205,0.000106,198,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v4-flash,DeepSeek,flash/V4,2026-Q2,time scaling,UniMoral,unimoral_moral_typology,accuracy,1.0,1,235,512,0.000126,0.1,0.2,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-v4-flash/unimoral_moral_typology/2026-05-27T13-58-23-00-00_unimoral-moral-typology_QpYsNvc4iZRKdehcSB7R5Q.eval,accuracy,1,1,303,86,0.000063,76,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v4-flash,DeepSeek,flash/V4,2026-Q2,time scaling,UniMoral,unimoral_factor_attribution,accuracy,0.0,1,269,512,0.000129,0.1,0.2,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-v4-flash/unimoral_factor_attribution/2026-05-27T13-58-30-00-00_unimoral-factor-attribution_nQ9isvJHjsMtryfLvtskPD.eval,accuracy,1,1,331,109,0.000075,100,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v4-flash,DeepSeek,flash/V4,2026-Q2,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.0,1,165,512,0.000119,0.1,0.2,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-v4-flash/unimoral_consequence_generation/2026-05-27T13-58-35-00-00_unimoral-consequence-generation_MCzrQBVYinraDGiUrmcGvH.eval,mean,1,1,216,125,0.000075,143,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v4-flash,DeepSeek,flash/V4,2026-Q2,time scaling,ValuePrism,value_prism_relevance,accuracy,1.0,1,59,24,0.000011,0.1,0.2,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-v4-flash/value_prism_relevance/2026-05-27T13-58-51-00-00_value-prism-relevance_Yq3p3qDRzhwS7aKvWtRcY6.eval,accuracy,1,1,69,61,0.000031,58,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v4-flash,DeepSeek,flash/V4,2026-Q2,time scaling,ValuePrism,value_prism_valence,accuracy,1.0,1,70,32,0.000013,0.1,0.2,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-v4-flash/value_prism_valence/2026-05-27T13-58-57-00-00_value-prism-valence_3KkvFkNMQpPujh3yDNQ6zx.eval,accuracy,1,1,40,203,0.000084,199,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v4-flash,DeepSeek,flash/V4,2026-Q2,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,1,314,80,0.000047,0.1,0.2,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych/logs/deepseek__deepseek-v4-flash/ccd_bench_selection/2026-05-27T13-59-07-00-00_ccd-bench-selection_Je28riRBXxYF4sYkk47aUt.eval,mean,1,1,323,227,0.000114,180,input + output + reasoning tokens at OpenRouter metadata rates
