model,family,size_tier,release_period,grid,benchmark,task,metric,score,samples,estimated_input_tokens,estimated_max_output_tokens,estimated_cost_usd,input_price_per_m,output_price_per_m,reasoning_cost_control,replication_status,run_status,log_path,metric_observed,completed_samples,total_samples,input_tokens_actual,output_tokens_actual,reasoning_tokens_actual,actual_cost_usd,actual_cost_method
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,UniMoral,unimoral_action_prediction,accuracy,0.55,20,4130,1280,0.001878,0.21,0.79,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-chat-v3.1/unimoral_action_prediction/2026-05-27T15-00-21-00-00_unimoral-action-prediction_FD9VAKWbkJVZdQqPd3wRhA.eval,accuracy,20,20,5137,118,0,0.001172,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,UniMoral,unimoral_moral_typology,accuracy,0.6,20,4970,10240,0.009133,0.21,0.79,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-chat-v3.1/unimoral_moral_typology/2026-05-27T15-00-31-00-00_unimoral-moral-typology_6poosh88bGhNhaumiBPsqs.eval,accuracy,20,20,5875,151,0,0.001353,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,UniMoral,unimoral_factor_attribution,accuracy,0.5,20,5650,10240,0.009276,0.21,0.79,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-chat-v3.1/unimoral_factor_attribution/2026-05-27T15-00-44-00-00_unimoral-factor-attribution_eptAoMD6LLBnSqyrufyXf6.eval,accuracy,20,20,6627,111,0,0.001479,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.1842536312021935,20,3618,10240,0.008849,0.21,0.79,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-chat-v3.1/unimoral_consequence_generation/2026-05-27T15-00-54-00-00_unimoral-consequence-generation_SUAMn6Nu85ynqmnR3u6fBg.eval,mean,20,20,4449,911,0,0.001654,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,ValuePrism,value_prism_relevance,accuracy,0.65,20,986,480,0.000586,0.21,0.79,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-chat-v3.1/value_prism_relevance/2026-05-27T15-01-18-00-00_value-prism-relevance_fHqGjtnwfWZS4dTbhfbjAq.eval,accuracy,20,20,1190,34,0,0.000277,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,ValuePrism,value_prism_valence,accuracy,0.35,20,1009,640,0.000717,0.21,0.79,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-chat-v3.1/value_prism_valence/2026-05-27T15-01-32-00-00_value-prism-valence_S8Jhqv8yNiSeNGxAMevr3h.eval,accuracy,20,20,1168,52,0,0.000286,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-chat-v3.1,DeepSeek,chat/V3.1,2025-Q3,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,20,7154,1600,0.002766,0.21,0.79,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-chat-v3.1/ccd_bench_selection/2026-05-27T15-01-41-00-00_ccd-bench-selection_2TXDc4nH5HAiszt2Txrucu.eval,mean,20,20,7324,1028,0,0.002350,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v3.2,DeepSeek,chat/V3.2,2025-Q4,time scaling,UniMoral,unimoral_action_prediction,accuracy,0.55,20,4130,1280,0.001525,0.252,0.378,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-v3.2/unimoral_action_prediction/2026-05-27T15-02-01-00-00_unimoral-action-prediction_HMJgwCMfEWW8ryBfRqEoc7.eval,accuracy,20,20,4611,116,0,0.001206,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v3.2,DeepSeek,chat/V3.2,2025-Q4,time scaling,UniMoral,unimoral_moral_typology,accuracy,0.6,20,4970,10240,0.005123,0.252,0.378,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-v3.2/unimoral_moral_typology/2026-05-27T15-02-18-00-00_unimoral-moral-typology_MAee34RFT5g9gibUnK8cLm.eval,accuracy,20,20,5006,153,0,0.001319,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v3.2,DeepSeek,chat/V3.2,2025-Q4,time scaling,UniMoral,unimoral_factor_attribution,accuracy,0.5,20,5650,10240,0.005295,0.252,0.378,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-v3.2/unimoral_factor_attribution/2026-05-27T15-02-37-00-00_unimoral-factor-attribution_7D5HueftELC5gV6sAQSjVe.eval,accuracy,20,20,6084,115,0,0.001577,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v3.2,DeepSeek,chat/V3.2,2025-Q4,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.17924011841428295,20,3618,10240,0.004782,0.252,0.378,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-v3.2/unimoral_consequence_generation/2026-05-27T15-02-50-00-00_unimoral-consequence-generation_XGEgQnZp3uThpgDwDx2x6j.eval,mean,20,20,3703,966,0,0.001298,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v3.2,DeepSeek,chat/V3.2,2025-Q4,time scaling,ValuePrism,value_prism_relevance,accuracy,0.7,20,986,480,0.000430,0.252,0.378,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-v3.2/value_prism_relevance/2026-05-27T15-03-16-00-00_value-prism-relevance_BPWnnaEMMHbCxPPfaRU5P7.eval,accuracy,20,20,915,36,0,0.000244,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v3.2,DeepSeek,chat/V3.2,2025-Q4,time scaling,ValuePrism,value_prism_valence,accuracy,0.3,20,1009,640,0.000496,0.252,0.378,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-v3.2/value_prism_valence/2026-05-27T15-03-38-00-00_value-prism-valence_dwRv9T2jcw4oQMBMTGJ7mK.eval,accuracy,20,20,1039,46,0,0.000279,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v3.2,DeepSeek,chat/V3.2,2025-Q4,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,20,7154,1600,0.002408,0.252,0.378,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-v3.2/ccd_bench_selection/2026-05-27T15-03-47-00-00_ccd-bench-selection_TsQtdZhZk7TtWhZrAqwNs3.eval,mean,20,20,6576,937,0,0.002011,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v4-flash,DeepSeek,flash/V4,2026-Q2,time scaling,UniMoral,unimoral_action_prediction,accuracy,0.55,20,4130,1280,0.000669,0.1,0.2,default /no_think prefix at run time,Benchmark-faithful task; paper model roster only partially available in current grid.,success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-v4-flash/unimoral_action_prediction/2026-05-27T15-04-07-00-00_unimoral-action-prediction_XgJdaopWtf95HDgg23kooV.eval,accuracy,20,20,4928,3397,3262,0.001825,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v4-flash,DeepSeek,flash/V4,2026-Q2,time scaling,UniMoral,unimoral_moral_typology,accuracy,0.6,20,4970,10240,0.002545,0.1,0.2,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-v4-flash/unimoral_moral_typology/2026-05-27T15-04-31-00-00_unimoral-moral-typology_gXkMgKdMKdDrGVk2oxGDTA.eval,accuracy,20,20,5327,2583,2391,0.001528,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v4-flash,DeepSeek,flash/V4,2026-Q2,time scaling,UniMoral,unimoral_factor_attribution,accuracy,0.45,20,5650,10240,0.002613,0.1,0.2,default /no_think prefix at run time,"Benchmark-faithful task; paper reports weighted F1, so score scale differs unless post-processed.",success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-v4-flash/unimoral_factor_attribution/2026-05-27T15-04-52-00-00_unimoral-factor-attribution_DGfUHFosvmnK3C8DJipHjz.eval,accuracy,20,20,6132,2808,2655,0.001706,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v4-flash,DeepSeek,flash/V4,2026-Q2,time scaling,UniMoral,unimoral_consequence_generation,METEOR live scorer; BERTScore F1 is offline-only in the current release tooling,0.11706191150275,20,3618,10240,0.002410,0.1,0.2,default /no_think prefix at run time,Benchmark-faithful prompt route; BERTScore requires the offline release metric pass.,success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-v4-flash/unimoral_consequence_generation/2026-05-27T15-05-22-00-00_unimoral-consequence-generation_nhzd6WGd5djJWCdKvCCpys.eval,mean,20,20,4175,2926,2375,0.001478,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v4-flash,DeepSeek,flash/V4,2026-Q2,time scaling,ValuePrism,value_prism_relevance,accuracy,0.7,20,986,480,0.000195,0.1,0.2,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-v4-flash/value_prism_relevance/2026-05-27T15-06-00-00-00_value-prism-relevance_Zm9RLis9pYXkgkbv4AARD7.eval,accuracy,20,20,1164,1332,1279,0.000639,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v4-flash,DeepSeek,flash/V4,2026-Q2,time scaling,ValuePrism,value_prism_valence,accuracy,0.65,20,1009,640,0.000229,0.1,0.2,default /no_think prefix at run time,Closest feasible prompt-classification route; not Kaleido model replication.,success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-v4-flash/value_prism_valence/2026-05-27T15-06-23-00-00_value-prism-valence_533k3SKxbDyCoc9cKknQWV.eval,accuracy,20,20,1169,2097,2082,0.000953,input + output + reasoning tokens at OpenRouter metadata rates
deepseek/deepseek-v4-flash,DeepSeek,flash/V4,2026-Q2,time scaling,CCD-Bench,ccd_bench_selection,valid-choice coverage plus selected-cluster distribution; not accuracy,1.0,20,7154,1600,0.001035,0.1,0.2,default /no_think prefix at run time,"Benchmark-faithful route for choice behavior; compare cluster shares, not correctness.",success,results/openrouter-selected-grid-moral-psych-s20/logs/deepseek__deepseek-v4-flash/ccd_bench_selection/2026-05-27T15-06-48-00-00_ccd-bench-selection_GmcDJG4j4e5ZCJcGgRRvbR.eval,mean,20,20,7193,7149,6517,0.003453,input + output + reasoning tokens at OpenRouter metadata rates
